iter	Passed	Remaining
623	3153	1900
624	3158	1895
625	3163	1890
626	3168	1884
627	3172	1879
628	3176	1873
629	3181	1868
630	3186	1863
631	3191	1858
632	3196	1853
633	3200	1847
634	3205	1842
635	3210	1837
636	3215	1832
637	3220	1827
638	3224	1821
639	3229	1816
640	3234	1811
641	3240	1806
642	3244	1801
643	3249	1796
644	3254	1791
645	3259	1786
646	3264	1780
647	3269	1775
648	3274	1770
649	3279	1765
650	3284	1760
651	3289	1755
652	3293	1750
653	3298	1745
654	3303	1739
655	3307	1734
656	3312	1729
657	3316	1723
658	3321	1718
659	3325	1713
660	3330	1707
661	3335	1703
662	3340	1697
663	3344	1692
664	3349	1687
665	3353	1681
666	3358	1676
667	3363	1671
668	3368	1666
669	3373	1661
670	3379	1656
671	3384	1651
672	3389	1646
673	3393	1641
674	3398	1636
675	3404	1631
676	3408	1626
677	3414	1621
678	3418	1616
679	3423	1611
680	3428	1606
681	3433	1600
682	3437	1595
683	3443	1590
684	3448	1585
685	3453	1580
686	3458	1575
687	3463	1570
688	3468	1565
689	3473	1560
690	3477	1555
691	3482	1549
692	3486	1544
693	3491	1539
694	3496	1534
695	3501	1529
696	3505	1523
697	3510	1518
698	3515	1513
699	3520	1508
700	3526	1504
701	3530	1498
702	3536	1493
703	3541	1489
704	3546	1484
705	3551	1479
706	3556	1473
707	3561	1468
708	3566	1463
709	3571	1458
710	3576	1453
711	3580	1448
712	3584	1443
713	3589	1437
714	3594	1432
715	3598	1427
716	3604	1422
717	3608	1417
718	3613	1412
719	3618	1407
720	3623	1402
721	3627	1396
722	3632	1391
723	3637	1386
724	3642	1381
725	3647	1376
726	3653	1371
727	3658	1366
728	3662	1361
729	3667	1356
730	3671	1351
731	3676	1346
732	3681	1341
733	3686	1336
734	3691	1331
735	3696	1325
736	3702	1321
737	3707	1316
738	3711	1310
739	3716	1305
740	3721	1300
741	3726	1295
742	3732	1290
743	3737	1285
744	3742	1280
745	3747	1275
746	3753	1271
747	3758	1266
748	3763	1261
749	3768	1256
750	3773	1251
751	3777	1245
752	3782	1240
753	3786	1235
754	3791	1230
755	3796	1225
756	3800	1220
757	3805	1215
758	3810	1209
759	3814	1204
760	3820	1199
761	3825	1194
762	3829	1189
763	3834	1184
764	3839	1179
765	3844	1174
766	3849	1169
767	3854	1164
768	3858	1159
769	3864	1154
770	3868	1149
771	3873	1143
772	3878	1138
773	3883	1133
774	3888	1128
775	3893	1123
776	3898	1118
777	3902	1113
778	3907	1108
779	3912	1103
780	3917	1098
781	3922	1093
782	3928	1088
783	3933	1083
784	3939	1078
785	3944	1074
786	3949	1068
787	3954	1063
788	3959	1058
789	3963	1053
790	3968	1048
791	3973	1043
792	3978	1038
793	3983	1033
794	3987	1028
795	3992	1023
796	3997	1018
797	4001	1012
798	4006	1007
799	4011	1002
800	4015	997
801	4020	992
802	4026	987
803	4031	982
804	4036	977
805	4040	972
806	4046	967
807	4051	962
808	4055	957
809	4060	952
810	4065	947
811	4070	942
812	4075	937
813	4080	932
814	4085	927
815	4091	922
816	4096	917
817	4100	912
818	4106	907
819	4111	902
820	4116	897
821	4121	892
822	4127	887
823	4132	882
824	4137	877
825	4141	872
826	4146	867
827	4151	862
828	4157	857
829	4162	852
830	4167	847
831	4171	842
832	4176	837
833	4181	832
834	4186	827
835	4192	822
836	4196	817
837	4201	812
838	4206	807
839	4212	802
840	4216	797
841	4221	792
842	4225	787
843	4230	781
844	4235	776
845	4239	771
846	4244	766
847	4249	761
848	4254	756
849	4259	751
850	4263	746
851	4268	741
852	4273	736
853	4278	731
854	4282	726
855	4287	721
856	4292	716
857	4296	711
858	4301	706
859	4306	701
860	4310	695
861	4316	690
862	4320	685
863	4325	680
864	4330	675
865	4335	670
866	4340	665
867	4345	660
868	4350	655
869	4355	650
870	4360	645
871	4365	640
872	4370	635
873	4374	630
874	4379	625
875	4384	620
876	4389	615
877	4394	610
878	4399	605
879	4404	600
880	4408	595
881	4413	590
882	4418	585
883	4423	580
884	4428	575
885	4433	570
886	4439	565
887	4443	560
888	4448	555
889	4454	550
890	4458	545
891	4463	540
892	4469	535
893	4474	530
894	4480	525
895	4485	520
896	4490	515
897	4495	510
898	4500	505
899	4506	500
900	4510	495
901	4516	490
902	4521	485
903	4526	480
904	4531	475
905	4536	470
906	4541	465
907	4547	460
908	4552	455
909	4557	450
910	4562	445
911	4567	440
912	4572	435
913	4577	430
914	4582	425
915	4587	420
916	4592	415
917	4597	410
918	4603	405
919	4608	400
920	4612	395
921	4617	390
922	4622	385
923	4627	380
924	4632	375
925	4637	370
926	4642	365
927	4648	360
928	4653	355
929	4658	350
930	4663	345
931	4668	340
932	4673	335
933	4678	330
934	4683	325
935	4688	320
936	4693	315
937	4698	310
938	4703	305
939	4708	300
940	4712	295
941	4717	290
942	4722	285
943	4727	280
944	4732	275
945	4737	270
946	4743	265
947	4748	260
948	4752	255
949	4757	250
950	4762	245
951	4767	240
952	4771	235
953	4776	230
954	4781	225
955	4786	220
956	4790	215
957	4795	210
958	4800	205
959	4805	200
960	4810	195
961	4814	190
962	4819	185
963	4824	180
964	4829	175
965	4835	170
966	4840	165
967	4844	160
968	4849	155
969	4854	150
970	4860	145
971	4865	140
972	4870	135
973	4875	130
974	4880	125
975	4885	120
976	4890	115
977	4895	110
978	4900	105
979	4905	100
980	4910	95
981	4915	90
982	4921	85
983	4926	80
984	4931	75
985	4936	70
986	4941	65
987	4946	60
988	4951	55
989	4957	50
990	4962	45
991	4967	40
992	4972	35
993	4977	30
994	4982	25
995	4987	20
996	4992	15
997	4997	10
998	5002	5
999	5006	0
